Total Points,Name
3,Jean-Philippe Gbamin
10,Jarrad Branthwaite
0,Nathan Broadhead
1,Moise Kean
0,Niels Nkounkou
0,Andy Lonergan
25,Salomón Rondón
2,Ellis Simms
2,Lewis Dobbin
0,Charlie Whitaker
0,Harry Tyrer
1,Cenk Tosun
0,Reece Welch
3,Tyler Onyango
0,Nathan Patterson
17,Vitalii Mykolenko
0,Isaac Price
102,Kasper Schmeichel
26,Jonny Evans
35,Marc Albrighton
9,Nampalys Mendy
0,Danny Ward
92,Jamie Vardy
0,Dennis Praet
29,Ricardo Domingos Barbosa Pereira
44,Daniel Amartey
46,Timothy Castagne
97,Youri Tielemans
13,Ayoze Pérez
130,James Maddison
62,Kelechi Iheanacho
8,Hamza Choudhury
91,Harvey Barnes
41,Wilfred Ndidi
55,Çaglar Söyüncü
11,James Justin
47,Luke Thomas
1,Wesley Fofana
11,Jannik Vestergaard
54,Patson Daka
34,Boubakary Soumaré
4,Ryan Bertrand
52,Kiernan Dewsbury-Hall
0,Eldin Jakupovic
60,Ademola Lookman
0,Vontae Daley-Campbell
0,Ben Nelson
0,Lewis Brunt
1,Kasey McAteer
0,Pablo Hernández Domínguez
0,Francisco Casilla Cortés
50,Liam Cooper
50,Luke Ayling
54,Mateusz Klich
75,Rodrigo Moreno
76,Stuart Dallas
28,Patrick Bamford
58,Diego Llorente
27,Kalvin Phillips
1,Hélder Wander Sousa de Azevedo e Costa
34,Tyler Roberts
16,Robin Koch
0,Ian Carlo Poveda-Ocampo
127,Raphael Dias Belloli
18,Jamie Shackleton
20,Pascal Struijk
84,Illan Meslier
97,Jack Harrison
90,Daniel James
13,Héctor Junior Firpo Adames
2,Kristoffer Klaesson
10,Sam Greenwood
6,Crysencio Summerville
38,Adam Forshaw
0,Cody Drameh
4,Charlie Cresswell
1,Liam McCarron
32,Joe Gelhardt
-1,Nohan Kenneh
1,Stuart McKinstry
2,Leo Fuhr Hjelde
1,Lewis Bate
0,Jack Jenkins
0,Kris Moore
0,Archie Gray
31,James Milner
95,Jordan Henderson
0,Adrián San Miguel del Castillo
121,Joel Matip
50,Thiago Alcántara do Nascimento
0,Xherdan Shaqiri
42,Alex Oxlade-Chamberlain
56,Roberto Firmino
156,Virgil van Dijk
148,Sadio Mané
145,Alisson Ramses Becker
88,Fabio Henrique Tavares
230,Mohamed Salah
148,Andrew Robertson
16,Divock Origi
19,Takumi Minamino
191,Trent Alexander-Arnold
16,Joseph Gomez
49,Naby Keita
154,Diogo Jota
0,Nathaniel Phillips
8,Caoimhin Kelleher
27,Ibrahima Konaté
36,Curtis Jones
38,Konstantinos Tsimikas
4,Neco Williams
0,Rhys Williams
0,Ben Davies
10,Harvey Elliott
0,Ben Woodburn
1,Tyler Morton
1,Kaide Gordon
0,Conor Bradley
0,Owen Beck
0,Marcelo de Araújo Pitaluga Filho
0,Jarell Quansah
28,Luis Díaz
66,Jack Grealish
85,Kyle Walker
98,Ilkay Gündogan
143,Kevin De Bruyne
63,John Stones
3,Benjamin Mendy
115,Riyad Mahrez
126,Raheem Sterling
173,João Pedro Cavaco Cancelo
130,Ederson Santana de Moraes
44,Nathan Aké
130,Aymeric Laporte
7,Zack Steffen
136,Bernardo Mota Veiga de Carvalho e Silva
122,Rúben Santos Gato Alves Dias
82,Gabriel Fernando de Jesus
34,Oleksandr Zinchenko
108,Phil Foden
83,Rodrigo Hernandez
26,Ferran Torres
31,Fernando Luiz Rosa
9,Cole Palmer
0,Samuel Edozie
0,Tommy Doyle
0,Scott Carson
0,Luke Mbete
0,Joshua Wilson-Esbrand
0,Romeo Lavia
0,Cieran Slicker
2,James McAtee
0,Conrad Egan-Riley
1,Kayky da Silva Chagas
1,Liam Delap
30,Edinson Cavani
117,David de Gea
33,Nemanja Matic
62,Paul Pogba
65,Harry Maguire
89,Frederico Rodrigues de Paula Santos
46,Luke Shaw
24,Jesse Lingard
136,Bruno Miguel Borges Fernandes
14,Anthony Martial
47,Alex Nicolao Telles
0,Dean Henderson
57,Marcus Rashford
14,Axel Tuanzebe
56,Victor Lindelöf
57,Scott McTominay
2,Eric Bailly
41,Aaron Wan-Bissaka
71,Mason Greenwood
1,Juan Mata
86,Jadon Sancho
0,Tom Heaton
44,José Diogo Dalot Teixeira
0,Andreas Pereira
34,Anthony Elanga
58,Raphaël Varane
118,Cristiano Ronaldo dos Santos Aveiro
2,Phil Jones
0,Amad Diallo
0,Hannibal Mejbri
69,Joseph Willock
72,Matt Targett
67,Dan Burn
83,Chris Wood
56,Jonjo Shelvey
18,Matt Ritchie
14,Ciaran Clark
20,Karl Darlow
64,Martin Dubravka
59,Callum Wilson
8,Jeff Hendrick
77,Ryan Fraser
36,Jamaal Lascelles
4,Dwight Gayle
7,Paul Dummett
38,Javier Manquillo
34,Emil Krafth
49,Jacob Murphy
76,Fabian Schär
28,Isaac Hayden
97,Allan Saint-Maximin
40,Miguel Almirón
37,Sean Longstaff
57,Joelinton Cássio Apolinário de Lira
10,Jamal Lewis
0,Matthew Longstaff
11,Federico Fernández
9,Freddie Woodman
0,Mark Gillespie
0,Joe White
0,Elliot Anderson
26,Kieran Trippier
22,Bruno Guimarães Rodriguez Moura
0,Lucas De Bolle
40,Billy Gilmour
36,Brandon Williams
0,Michael McGovern
81,Tim Krul
115,Teemu Pukki
0,Marco Stiepermann
18,Lukas Rupp
65,Kenny McLean
65,Grant Hanley
0,Onel Hernández
15,Sam Byram
0,Jordan Hugill
20,Kieran Dowell
0,Christoph Zimmermann
10,Todd Cantwell
49,Max Aarons
8,Jacob Sørensen
15,Przemyslaw Placheta
36,Adam Idah
0,Josh Martin
14,Andrew Omobamidele
26,Angus Gunn
59,Milot Rashica
50,Ben Gibson
35,Dimitris Giannoulis
56,Pierre Lees-Melou
0,Bali Mumba
59,Joshua Sargent
15,Christos Tzolis
18,Ozan Kabak
45,Mathias Normann
0,Jonathan Tomkinson
11,Jonathan Rowe
0,Thomas Dickson-Peters
0,Jon McCracken
0,Liam Gibbs
0,Abu Kamara
0,Tony Springett
12,Theo Walcott
40,Fraser Forster
53,Alex McCarthy
65,Oriol Romeu Vidal
60,Nathan Redmond
12,Jack Stephens
42,Stuart Armstrong
123,James Ward-Prowse
71,Kyle Walker-Peters
77,Jan Bednarek
0,Daniel N'Lundulu
96,Che Adams
18,Nathan Tella
4,William Smallbone
0,Michael Obafemi
41,Ibrahima Diallo
12,Moussa Djenepo
56,Mohammed Salisu
29,Romain Perraud
77,Tino Livramento
76,Mohamed Elyounoussi
83,Armando Broja
14,Shane Long
53,Adam Armstrong
2,Yan Valery
10,Lyanco Evangelista Silveira Neves Vojnovic
0,Harry Lewis
2,Willy Caballero
0,Dynel Simeu
0,Thierry Small
0,Kgaogelo Chauke
0,Joe Hart
126,Hugo Lloris
0,Toby Alderweireld
0,Erik Lamela
150,Harry Kane
0,Serge Aurier
198,Heung-Min Son
67,Matt Doherty
101,Eric Dier
77,Lucas Rodrigues Moura da Silva
78,Ben Davies
91,Pierre-Emile Højbjerg
29,Harry Winks
67,Davinson Sánchez
23,Ryan Sessegnon
50,Steven Bergwijn
102,Sergio Reguilón
29,Japhet Tanganga
11,Giovani Lo Celso
34,Oliver Skipp
1,Joe Rodon
22,Tanguy Ndombele
0,Pierluigi Gollini
9,Bryan Gil Salvatierra
48,Cristian Romero
1,Dane Scarlett
71,Emerson Aparecido Leite de Souza Junior
0,Dilan Markanday
0,Tobi Omole
0,Brandon Austin
0,Harvey White
65,Dejan Kulusevski
24,Rodrigo Bentancur
0,Alfie Devine
0,Jamie Bowden
70,Moussa Sissoko
62,Ben Foster
7,Danny Rose
1,Dan Gosling
45,Craig Cathcart
2,Troy Deeney
42,Tom Cleverley
47,Francisco Femenía Far
0,Andre Gray
12,Christian Kabasele
0,Nathaniel Chalobah
17,William Troost-Ekong
0,Stipe Perica
22,Daniel Bachmann
12,Adam Masina
18,Ken Sema
0,Philip Zinckernagel
0,Isaac Success Ajayi
0,Ayotomiwa Dele-Bashiru
3,Ashley Fletcher
5,Francisco Sierralta
0,Domingos Quina
0,Marc Navarro
70,Ismaila Sarr
20,Jeremy Ngakia
0,Ben Wilmot
0,Joseph Hungbo
26,Imrân Louza
45,João Pedro Junqueira de Jesus
0,Kwadwo Baah
117,Emmanuel Dennis
0,Matthew Pollock
8,Oghenekaro Peter Etebo
81,Joshua King
0,Adedapo Awokoya-Mebude
61,Juan Camilo Hernández Suárez
48,Juraj Kucka
10,Ozan Tufan
0,Robert Elliot
5,Nicolas Nkoulou
0,James Morris
0,Vincent Angelini
0,Kamil Conteh
30,Hassane Kamara
26,Samir Caetano de Souza Santos
14,Edo Kayembe
2,Samuel Kalu
57,Kurt Zouma
11,Mark Noble
0,Darren Randolph
106,Lukasz Fabianski
40,Angelo Ogbonna
0,Winston Reid
103,Aaron Cresswell
18,Andriy Yarmolenko
120,Michail Antonio
78,Craig Dawson
6,Ryan Fredericks
70,Manuel Lanzini
27,Arthur Masuaku
59,Vladimir Coufal
116,Saïd Benrahma
168,Jarrod Bowen
84,Declan Rice
98,Tomas Soucek
102,Pablo Fornals
28,Issa Diop
42,Ben Johnson
2,Alphonse Areola
0,Frederik Alves
0,Conor Coventry
0,Jamal Baptiste
27,Nikola Vlasic
1,Alex Kral
1,Harrison Ashby
1,Sonny Perkins
0,Ajibola Alese
0,Armstrong Oko-Flex
0,Pierre Ekwah
1,Daniel Chesters
84,João Filipe Iria Santos Moutinho
0,Rui Pedro dos Santos Patrício
10,Willy Boly
126,Conor Coady
87,Raúl Jiménez
106,Romain Saïss
67,Fernando Marçal
32,Jonathan Castro Otto
59,Leander Dendoncker
44,Adama Traoré
86,Rúben Diogo da Silva Neves
91,Nélson Cabral Semedo
69,Daniel Castelo Podence
106,Max Kilman
1,Morgan Gibbs-White
7,Pedro Lomba Neto
0,Owen Otasowie
14,Ki-Jana Hoever
0,Andreas Söndergaard
26,Fabio Silva
0,Yerson Mosquera Valdelamar
0,John Ruddy
57,Francisco Machado Mota de Castro Trincão
73,Rayan Ait Nouri
137,José Malheiro de Sá
0,Patrick Cutrone
6,Luke Cundle
1,Chem Campbell
0,Christian Marques
72,Hee-Chan Hwang
0,Louie Moulden
0,James Storer
0,Hugo Bueno
0,Bruno André Cavaco Jordão
3,Toti António Gomes
0,Dion Sanderson
0,Ryan Giles
8,Francisco Jorge Tomás Oliveira
